Volume,Doors,Style
102,4,Sedan
121,5,SUV
113,4,Sedan
134,5,SUV
134,5,SUV
114,5,SUV
120,4,Sedan
96,2,Sedan
100,4,Sedan
130,4,Pickup
110,4,Jeep
150,4,Van
97,4,Sedan
105,4,SUV
135,4,Pickup
108,4,SUV
115,4,SUV
95,4,Sedan
107,4,SUV
92,4,SUV
105,4,SUV
89,4,SUV
97,4,SUV
88,4,Sedan
120,4,Pickup
104,4,Sedan
97,4,Sedan
100,4,Sedan
115,4,SUV
95,4,Jeep
105,4,SUV
97,4,Sedan
132,4,Pickup
94,4,Sedan
99,4,Sedan
110,4,SUV
103,4,Sedan
135,4,SUV
101,4,Sedan
145,4,SUV
137,4,SUV
100,4,Sedan
131,4,SUV
98,4,Pickup
94,4,Sedan
106,5,SUV
105,4,Sedan
96,4,Sedan
116,4,Sedan
112,4,Sedan
137,5,SUV
132,4,Pickup
113,4,Sedan
145,4,SUV
132,4,Pickup
99,4,SUV
96,4,SUV
106,4,SUV
136,4,SUV
134,4,SUV
103,4,SUV
168,4,SUV
112,4,Sedan
110,4,Sedan
144,5,SUV
114,4,Sedan
118,4,Sedan
110,2,Sedan
100,4,Pickup
112,4,Sedan
122,4,Sedan
132,4,Pickup
135,5,Jeep
112,4,Sedan
136,5,SUV
115,4,Sedan
134,4,Pickup
128,4,SUV
106,4,SUV
111,4,SUV
106,4,SUV
128,4,SUV
109,4,SUV
104,4,Jeep
112,4,Sedan
128,4,SUV
105,4,Sedan
110,4,Sedan
140,4,SUV
118,4,Sedan
110,4,Sedan
88,4,Sedan
94,4,Sedan
110,5,Sedan
144,5,SUV
97,4,Sedan
82,2,Sedan
136,5,SUV
165,5,Van
100,4,Sedan
132,4,Pickup
160,5,Van
135,4,Pickup
94,4,Sedan
94,4,SUV
134,4,SUV
122,4,SUV
85,2,Sedan
115,4,Sedan
102,4,Sedan
101,4,Sedan
121,4,Sedan
117,4,SUV
122,5,SUV
172,5,SUV
105,5,SUV
122,4,Pickup
106,5,SUV
120,4,Pickup
120,5,SUV
122,4,Pickup
105,5,SUV
100,4,Sedan
136,4,SUV
106,4,Sedan
123,4,SUV
144,4,SUV
121,4,SUV
99,4,Sedan
95,4,Sedan
