,Volume,Doors
70,122,4
78,106,4
47,96,4
0,102,4
12,97,4
42,131,4
51,132,4
24,120,4
67,110,2
113,122,5
89,118,4
15,108,4
77,128,4
22,97,4
44,94,4
65,114,4
96,82,2
30,105,4
62,112,4
124,106,4
9,130,4
33,94,4
66,118,4
25,104,4
117,106,5
28,115,4
98,165,5
128,99,4
53,145,4
5,114,5
68,100,4
73,112,4
39,145,4
49,112,4
35,110,4
16,115,4
125,123,4
34,99,4
85,128,4
7,96,2
43,98,4
76,134,4
104,94,4
110,101,4
8,100,4
13,105,4
94,144,5
3,134,5
17,95,4
38,101,4
72,135,5
101,160,5
6,120,4
83,104,4
112,117,4
114,172,5
54,132,4
50,137,5
119,120,5
46,105,4
108,115,4
61,168,4
127,121,4
79,111,4
122,100,4
91,88,4
41,100,4
58,136,4
90,110,4
48,116,4
88,140,4
111,121,4
57,106,4
75,115,4
32,132,4
123,136,4
59,134,4
63,110,4
109,102,4
37,135,4
29,95,4
107,85,2
116,122,4
1,121,5
52,113,4
21,89,4
2,113,4
23,88,4
103,94,4
99,100,4
87,110,4
118,120,4
74,136,5
86,105,4
82,109,4
121,105,5
129,95,4
20,105,4
60,103,4
71,132,4
106,122,4
14,135,4
92,94,4
102,135,4
